jobRoleId,jobRoleName,jobRoleDesc,jobCategoryId
040674,Engagement Manager,"This role leads client and IBM teams in unstructured environments to successful engagement conclusion exclusive of formal reporting relationships. Overall responsibility generally includes interpreting policies/practices, identifying/satisfying resource needs and ensuring achievement of business and engagement goals. Decisions can influence client plans, schedules and overall client satisfaction. Forms an appropriate team and manages project, preparing work plans, managing workload, tracking schedules, communicating status, and leading client negotiations, resulting in a successful engagement conclusion meeting the client satisfaction and profitability objectives. They perform end-of-engagement shutdown, including completing end-of-engagement assessments, collecting client satisfaction reports, etc. with an eye towards starburst opportunities. They are the ""face of IBM"" to many/most of the client personnel associated with the engagement.",CN
040675,Facility Management Specialist,"This role provides technical advice and guidance to all aspects of physical site (infrastructure) and facilities required for proper operation of Information Technology Equipment, data communication products and associated hardware. Identifying problems related to facilities support infrastructure, installation, update, configuration, operations, or performance. Understands hardware environment specifications, requirements, factors and options related to the interaction with the operating environment. Has knowledge of the client's availability and performance requirements of the hardware and software configuration.   Usual components of facility planning include:  - Electrical Planning - Emergency/Disaster Planning  - Environment Planning - Fire Protection Planning - Mechanical Planning - Physical Security Planning  - Systems Availability Planning",AD
040677,Industry Consultant,"This role has a thorough understanding of the nature of the business problems in a given industry, and the products and solutions that provide value in solving those problems. Is knowledgeable in the trends and directions of the industry, the marketplace, and the players.",CN
040680,Project Administrator,"This role provides project support through ownership and management of project documentation and facilitation of project team communications. A Project Administrator sets up the project control book, enters data, tracks issues and changes, produces status reports and handles financial and procurement transactions.  They support general contract management through asset management, audit readiness, financial process support, issues management, measurements reporting, project plan execution and, where applicable, request for service.  They work under the direction of the Project Manager to assist in driving projects to successful completion.",PM
040681,Business Analyst,"IT Specialists in this Job Role have expertise in analysis and description of business processes, and their translation into functional and non-functional IT requirements. Business analysts act as the interpreters between the worlds of IT and business. Typical examples of the deliverables are functional and non-functional requirements, use-cases, process models, and impact analysis.",IS
040683,Software Specialist,"This role specializes in performing problem determination and problem source identification in software environments.   Responsibilities include:  - problem analysis, evaluation, recreation, and resolution of client reported problems   - the use of relevant problem management systems to search for known problems and to create new entries/update existing entries  - advice and guidance to clients regarding the use of software   - the use of IBM technical resources and tools to answer client questions and respond to clients requirements  Software environments include operating systems, programming languages, database management systems, packages, development tools, etc.",PS
040684,Application Developer,"IT Specialists in this Job Role have expertise in translating IT requirements in the design, development, and assembly of components to create custom information systems. Typical examples of the deliverables are functional and technical designs, models, components, code, unit tests, and documentation.",IS
040685,Application Database Administrator,IT Specialists in this Job Role will have expertise in one or more relational and non-relational data management-based software product areas with a particular focus on solutions or applications built within the physical database environment.,IS
040686,Systems Programmer,"This role provides the underlying system platform programming support on which applications are developed and/or deployed. Their expertise is required in many environments which may include operating systems, application development platforms, networking, packaged software, etc.",TS
040687,Security Specialist,"IT Specialists in this job role will have expertise in analyzing and translating business requirements into control objectives, design security controls and implement them along with a security management cycle. Security specialists assist in finding the proper balance between enabling and securing in relation to the client's organization, culture and ecosystem. Typical examples of the deliverables include asset classification models, risk analysis reports, information security policies, security solution scenarios, implementation plans, organization models, procedures, security services, security effectiveness evaluation reports and security awareness workshops. IT Specialists who apply their technical skills to support the operation and maintenance of vendor products, services, and solutions. Individuals who are part of Support typically have responsibility for sizing, troubleshooting, and critical client situations.",IS
040707,Learning Consultant,"Learning Consultants assist clients to determine key human performance issues and provide recommendations on how to most effectively address those issues by using the Human Performance Improvement (HPI) methodology.  They use in-depth HPI consulting skills to diagnose how the performance and learning issues within an organization align with business needs and adapt existing or develop new learning strategies and solutions to help meet business needs.  They are responsible for client relationship management, ensuring client satisfaction, and can manage all aspects of the engagement.  They are knowledgeable of learning strategy and solution alternatives ranging from learning systems and technologies, to human performance (learning and non-learning) solutions.  They use knowledge of evaluation and measurement approaches in their solution recommendations.",HR
040709,Computer Operator,"This role is responsible for monitoring, controlling and operating complex computer systems, networks, applications and/or distributed systems in a multi vendor environment. They are also responsible for analyzing first level problems for all systems (according to the service agreements), resolving and routing as appropriate, supporting the Systems Management Processes specific to their client requirements, performing I/O (tape and print) duties where appropriate and batch management when required.",TS
040710,Strategy Consultant,"This role assists clients to determine their business issues and recommend solutions to drive business value. They use in-depth consulting skills and business knowledge aligned to business objectives, processes, measurements and tools to analyze their clients business issues, formulate hypotheses and test conclusions to determine appropriate solutions.",CN
044939,Procurement Tactical Sourcing Professional,"This position is responsible as a buyer for purchase order placement, program management, fulfillment buying, as well as the day-to-day management of internal and external awarded contracts (including new purchases).",SC
